id,name,team,position,rating,match,match_id,match_date,home_away,ERA,top_stats_FotMob rating,top_stats_Minutes played,top_stats_Saves,top_stats_Goals conceded,top_stats_Goals prevented,top_stats_Accurate passes_value,top_stats_Accurate passes_total,top_stats_Accurate long balls_value,top_stats_Accurate long balls_total,top_stats_Diving save,top_stats_Saves inside box,top_stats_Acted as sweeper,top_stats_Punches,top_stats_Throws,top_stats_High claim,top_stats_Recoveries,top_stats_Touches,top_stats_Goals,top_stats_Assists,top_stats_Total shots,top_stats_Shotmap,top_stats_Chances created,attack_Blocked shots,attack_Touches,attack_Successful dribbles_value,attack_Successful dribbles_total,attack_Passes into final third,attack_Accurate crosses_value,attack_Accurate crosses_total,attack_Accurate long balls_value,attack_Accurate long balls_total,attack_Dispossessed,defense_Tackles won_value,defense_Tackles won_total,defense_Clearances,defense_Headed clearance,defense_Interceptions,defense_Defensive actions,defense_Recoveries,defense_Dribbled past,duels_Duels won,duels_Duels lost,duels_Ground duels won_value,duels_Ground duels won_total,duels_Aerial duels won_value,duels_Aerial duels won_total,duels_Was fouled,duels_Fouls committed,attack_Shot accuracy_value,attack_Shot accuracy_total,attack_Big chances missed,attack_Offsides,attack_Corners,defense_Tackles won,defense_Blocks,attack_Touches in opposition box,top_stats_Missed penalty,top_stats_Penalties won,defense_Last man tackle,defense_Clearance off the line,top_stats_Error led to goal,top_stats_xGOT faced,top_stats_Expected goals (xG),top_stats_Expected goals on target (xGOT),top_stats_Expected assists (xA),top_stats_xG + xA,attack_xG Non-penalty,top_stats_Conceded penalty
859282,Daniel Munoz,8258,Defender,7.7,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.67,90.0,,,,29.0,38.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,54.0,1.0,1.0,6.0,,,0.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,9.0,7.0,1.0,6.0,5.0,6.0,11.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
50207,Camilo Vargas,8258,Keeper,7.7,"Germany-vs-Colombia_Tue, Jun 20, 2023, 18:45 UTC",4162528,2023-06-20,away,During Lorenzo,7.66,90.0,1.0,0.0,0.0,17.0,26.0,6.0,15.0,1.0,1.0,2.0,0.0,3.0,0.0,6.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50207,Camilo Vargas,8258,Keeper,6.9,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,6.92,90.0,2.0,0.0,0.0,19.0,27.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859282,Daniel Munoz,8258,Defender,7.8,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.84,90.0,,,,52.0,56.0,,,,,,,,,,,0.0,0.0,0.0,,2.0,,94.0,1.0,4.0,4.0,3.0,4.0,,,0.0,4.0,5.0,3.0,,1.0,12.0,3.0,,6.0,7.0,6.0,12.0,0.0,1.0,,3.0,,,,,,,,3.0,,,,,,,,,,,,
496042,Yerry Mina,8258,Defender,7.6,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.63,90.0,,,,60.0,62.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,72.0,,,5.0,,,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,,6.0,2.0,5.0,6.0,1.0,2.0,4.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
860913,Jhon Lucumi,8258,Defender,7.5,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.53,90.0,,,,77.0,83.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,86.0,,,4.0,,,5.0,6.0,0.0,,,1.0,,1.0,2.0,9.0,,1.0,,,,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,
578756,Deiver Machado,8258,Defender,6.8,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,6.8,90.0,,,,55.0,64.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,96.0,0.0,1.0,8.0,0.0,2.0,0.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,7.0,8.0,6.0,13.0,1.0,2.0,3.0,1.0,,,,,,,,2.0,,,,,,,,,,,,
320618,Mateus Uribe,8258,Midfielder,7.5,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.47,85.0,,,,32.0,37.0,,,,,,,,,,,0.0,0.0,2.0,True,0.0,1.0,46.0,1.0,2.0,4.0,,,1.0,2.0,0.0,2.0,4.0,,,,5.0,8.0,2.0,5.0,4.0,5.0,9.0,0.0,0.0,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,
466672,Jefferson Lerma,8258,Midfielder,7.4,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.36,90.0,,,,52.0,64.0,,,,,,,,,,,0.0,0.0,2.0,True,0.0,1.0,75.0,,,12.0,,,3.0,5.0,0.0,1.0,1.0,,,1.0,2.0,5.0,,8.0,2.0,4.0,4.0,4.0,6.0,3.0,,0.0,1.0,,,,,,1.0,,,,,,,,,,,,
1023030,Jhon Arias,8258,Midfielder,7.7,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.66,75.0,,,,28.0,34.0,,,,,,,,,,,0.0,1.0,0.0,,2.0,,56.0,1.0,3.0,8.0,2.0,3.0,0.0,1.0,3.0,2.0,2.0,,,,3.0,6.0,3.0,7.0,10.0,5.0,14.0,2.0,3.0,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,
155066,Juan Cuadrado,8258,Attacker,6.3,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,6.34,45.0,,,,31.0,35.0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,40.0,,,5.0,0.0,3.0,4.0,4.0,1.0,,,,,,1.0,2.0,,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,,,,,,0.0,,1.0,,,,,,,,,,,,
533775,Rafael Santos Borre,8258,Attacker,7.7,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.66,75.0,,,,6.0,9.0,,,,,,,,,,,1.0,0.0,1.0,True,1.0,,18.0,0.0,1.0,,,,,,0.0,2.0,2.0,,,1.0,5.0,,2.0,2.0,6.0,2.0,6.0,0.0,2.0,,2.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,
860914,Luis Diaz,8258,Attacker,7.2,"Colombia-vs-Venezuela_Thu, Sep 7, 2023, 23:00 UTC",4196504,2023-09-07,home,During Lorenzo,7.23,88.0,,,,39.0,45.0,,,,,,,,,,,0.0,0.0,4.0,True,1.0,1.0,73.0,5.0,11.0,7.0,0.0,1.0,3.0,3.0,1.0,,,,,,1.0,3.0,,7.0,9.0,6.0,14.0,1.0,2.0,1.0,1.0,1.0,3.0,,2.0,,0.0,,11.0,,,,,,,,,,,,
860914,Luis Diaz,8258,Attacker,6.4,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,6.42,71.0,,,,18.0,20.0,,,,,,,,,,,0.0,0.0,2.0,True,0.0,1.0,38.0,2.0,3.0,,,,1.0,1.0,2.0,,,,,1.0,2.0,5.0,,3.0,6.0,3.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,,,,0.0,,,,,,,,,,,,,,
533775,Rafael Santos Borre,8258,Attacker,6.1,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,6.05,58.0,,,,8.0,11.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,23.0,,,1.0,,,,,1.0,0.0,1.0,2.0,2.0,,4.0,3.0,1.0,7.0,10.0,3.0,6.0,4.0,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1023030,Jhon Arias,8258,Attacker,7.1,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,7.13,71.0,,,,32.0,33.0,,,,,,,,,,,0.0,0.0,1.0,True,1.0,,52.0,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,,,1.0,11.0,7.0,2.0,8.0,7.0,8.0,15.0,0.0,0.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,
784834,Jorge Carrascal,8258,Midfielder,5.9,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,5.91,58.0,,,,16.0,19.0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,34.0,,,6.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,,,,4.0,4.0,,2.0,8.0,2.0,8.0,0.0,2.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,
466672,Jefferson Lerma,8258,Midfielder,7.1,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,7.06,90.0,,,,39.0,48.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,1.0,59.0,,,9.0,,,2.0,4.0,0.0,,,1.0,1.0,4.0,5.0,6.0,1.0,7.0,7.0,2.0,3.0,5.0,11.0,2.0,,,,,,,0.0,,,,,,,,,,,,,,
320618,Mateus Uribe,8258,Midfielder,7.2,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,7.19,90.0,,,,36.0,41.0,,,,,,,,,,,0.0,0.0,0.0,,3.0,,60.0,,,5.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,10.0,3.0,1.0,2.0,7.0,2.0,5.0,0.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,
578756,Deiver Machado,8258,Defender,7.0,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,6.98,90.0,,,,29.0,34.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,51.0,,,4.0,0.0,3.0,1.0,3.0,0.0,,,1.0,1.0,,3.0,6.0,,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,,,,1.0,,0.0,1.0,,,,,,,,,,,,,
860913,Jhon Lucumi,8258,Defender,6.9,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,6.88,90.0,,,,29.0,32.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,39.0,,,3.0,,,1.0,3.0,0.0,0.0,1.0,4.0,1.0,,6.0,7.0,,2.0,3.0,1.0,2.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
496042,Yerry Mina,8258,Defender,6.2,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,6.24,23.0,,,,3.0,4.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,7.0,,,1.0,,,,,0.0,,,1.0,,1.0,3.0,1.0,,,2.0,0.0,1.0,0.0,1.0,,1.0,,,,,,0.0,,,,,,,,,,,,,,
859282,Daniel Munoz,8258,Defender,7.8,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,7.76,90.0,,,,29.0,39.0,,,,,,,,,,,0.0,0.0,1.0,True,0.0,,71.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,4.0,4.0,2.0,2.0,13.0,7.0,1.0,7.0,3.0,5.0,7.0,2.0,3.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
50207,Camilo Vargas,8258,Keeper,8.1,"Chile-vs-Colombia_Wed, Sep 13, 2023, 00:30 UTC",4196497,2023-09-13,away,During Lorenzo,8.06,90.0,5.0,0.0,0.0,6.0,19.0,3.0,16.0,3.0,4.0,0.0,1.0,3.0,0.0,8.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50207,Camilo Vargas,8258,Keeper,4.9,"Colombia-vs-Uruguay_Thu, Oct 12, 2023, 20:30 UTC",4196495,2023-10-12,home,During Lorenzo,4.9,87.0,4.0,1.0,0.0,23.0,29.0,2.0,8.0,1.0,4.0,0.0,1.0,4.0,0.0,6.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207642,Santiago Arias,8258,Defender,7.8,"Colombia-vs-Uruguay_Thu, Oct 12, 2023, 20:30 UTC",4196495,2023-10-12,home,During Lorenzo,7.76,89.0,,,,33.0,40.0,,,,,,,,,,,0.0,1.0,0.0,,2.0,,65.0,,,10.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,,1.0,7.0,6.0,1.0,4.0,4.0,4.0,8.0,0.0,0.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,
834032,Carlos Cuesta,8258,Defender,7.0,"Colombia-vs-Uruguay_Thu, Oct 12, 2023, 20:30 UTC",4196495,2023-10-12,home,During Lorenzo,7.02,90.0,,,,33.0,39.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,48.0,,,5.0,,,2.0,5.0,0.0,,,4.0,4.0,4.0,8.0,5.0,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
